Category,Stakeholder,Product,Question,Answer
Segments,P&S,Specific benefits,"Specific benefits for Al Massy segment:
What are the specific benefits for Al Massy segment customers?","Al Massy segment customers are entitled to three free concierge services per month, excluding the complimentary concierge services and personal assistance available through the Warba Concierge Call Centre. Any additional services will be charged."
Segments,P&S,Specific benefits,"Al Massy segment customers use their services:
How can Al Massy segment customers use their services?",Al Massy segment customers can contact Warba Concierge Call Centre at 22969966 to request their services. Warba Concierge team will guide them through the process and ensure their needs are met.
Segments,P&S,Specific benefits,"Specific benefits for Al Safwa Plus segment:
What are the specific benefits for Al Safwa Plus segment customers?","Al Safwa Plus segment customers can enjoy four free airport limo services per year, in addition to the complimentary concierge services and personal assistance available through the Warba Concierge Call Centre. Any additional services will be charged."
Segments,P&S,Specific benefits,"Redeem free airport limo services for Al Safwa Plus segment customers:
How can Al Safwa Plus segment customers redeem their free airport limo services?",Al Safwa Plus segment customers can contact Warba Concierge Call Centre at 22969966 to schedule their free airport limo services. Warba Concierge team will coordinate the details and confirm the reservation.
Segments,P&S,Specific benefits,"Specific benefits for Al Safwa segment:
What are the specific benefits for Al Safwa segment customers?","Al Safwa segment customers can enjoy two free airport limo services per year, in addition to the complimentary concierge services and personal assistance available through the Warba Concierge Call Centre. Any additional services will be charged."
Segments,P&S,Specific benefits,"Redeem free airport limo services for Al Safwa segment customers:
How can Al Safwa segment customers redeem their free airport limo services?",Al Safwa segment customers can contact Warba Concierge Call Centre at 22969966 to schedule their free airport limo services. Warba Concierge team will coordinate the details and confirm the reservation.
General Information,,About Warba Bank,Warba Bank Definition:,"Warba Bank was established on February 17, 2010, by virtue of an Amiri Decree aiming to boost the economic situation after the crisis witnessed by Kuwait. On April 7, 2010, Warba Bank joined the Islamic Banks Register at the Central Bank of Kuwait. The bank met the aspirations of Kuwaitis and earned their trust. It managed, in a short time, to position itself in the banking sector, As a leader in Islamic Digital Retail Solutions. "
General Information,,Board members,Board of Directors:,"The Board of Directors at Warba Bank is comprised of the following individuals:
Mr. Hamad M. AlSayer (Chairman)
Mr. Bader K. AlShalfan (Vice Chairman)
Mr. Mohammad H. AlShalfan
Mr. Mohamed R. AlMutawa
Mr. Mohammad A. Saleem
Mr. Mubarak N. AlSayer
Mr. Khaldon Sh. AlTabtabaei
Mr. Mohammad A. AlBahar
Mr. Mohammad A. AlRuwayeh
Mrs. May M. AlMudhaf
Mrs. Basma H. AlSanea"
General Information,,Management Team,Management Team,"The management team at Warba Bank includes:
Mr. Shaheen H. Al-Ghanem (CEO)
Mr. Anwar Bader Al Ghaith (Deputy Chief Executive Officer Support Services & Treasury)
Mr. Thuwaini AlThuwaini (Chief Investment Baking Officer)
Mr. Hamad F. Al Fouzan (Chief Strategic Planning Officer)
Mr. Ahmed Faisal AlQatami (Chief Retail Baking Officer)
Mr. Abdullah Mahmoud Allanqawi (Chief Treasury Officer)
Mr. Dharar A. Al Dakhil (Chief Risk Officer)
Mr. Hussam Mustafa (Chief Internal Auditor)
Ms. Layali Mostafa Al Fahad (Chief Operations Officer)
Ms. Maali A. AlRasheed (Chief Human Resources & General Services Officer)
Mr. Faisal A. Al Nassar (Chief Corporate Baking Officer)
Mr. Mohamed Sabry Eissa (Chief Financial Officer)
Mr. Wael Elsaid Shawareb (Chief Technology Officer)
Mr. Wael Ahmed Awad (Acting Chief Digital Officer)"
General Information,,Sharia Board,Sharia Board,"The Sharia board at Warba Bank includes:
Dr. Essam K. Al Anazi (Chairman)
Dr. Mohammad Al-Fuzai (Member)
Dr. Ali Ibrahim Al Rashed (Member)"
